date,open,high,low,close,volume
2006-11-07,625.8,631.2,623.7,627.9,32240.000000000004
2006-11-08,628.5,629.2,617.8,618.3,47670.0
2006-11-09,623.0,637.2,614.5,636.8,48630.0
2006-11-10,632.5,638.0,626.5,630.1,47550.0
2006-11-13,628.7,633.9,621.5,625.8,34040.0
2006-11-14,626.7,630.5,619.5,625.3,45970.0
2006-11-15,624.2,625.8,616.0,623.8,36750.0
2006-11-16,623.9,629.5,621.1,621.7,28330.0
2006-11-17,621.7,622.9,614.5,622.5,31280.0
2006-11-20,622.8,627.5,620.5,622.1,39260.0
2006-11-21,621.3,629.0,621.3,628.7,45650.0
2006-11-22,630.0,635.0,626.4,629.0,48070.0
2006-11-24,639.9,641.8,629.0,629.0,48070.0
2006-11-27,629.9,641.8,629.5,640.6,59680.0
2006-11-28,640.6,641.9,632.5,637.3,82650.0
2006-11-29,644.7,646.8,640.6,641.8,39760.0
2006-11-30,646.5,654.5,641.2,652.9,32100.0
2006-12-01,655.0,655.8,649.2,650.6,26300.0
2006-12-04,651.2,651.7,645.7,650.9,36340.0
2006-12-05,651.5,654.2,643.7,647.9,44390.0
2006-12-06,647.5,648.8,631.5,635.9,49430.0
2006-12-07,635.7,639.0,629.2,637.0,56360.0
2006-12-08,638.5,642.8,628.2,631.0,55280.0
2006-12-11,629.5,635.2,627.3,634.8,38950.0
2006-12-12,634.9,635.5,630.9,631.7,29180.0
2006-12-13,632.5,634.8,627.5,632.4,40180.0
2006-12-14,631.8,634.0,629.0,630.9,25490.0
2006-12-15,629.4,633.2,617.5,619.1,65370.00000000001
2006-12-18,619.1,621.9,615.0,617.9,46690.0
2006-12-19,618.8,626.5,618.3,625.4,36740.0
2006-12-20,626.4,627.9,622.1,624.3,37330.0
2006-12-21,623.8,625.4,620.6,621.6,26420.0
2006-12-22,620.9,624.6,620.9,622.3,12830.0
2006-12-26,625.0,632.4,624.7,626.9,29420.0
2006-12-27,627.1,632.0,626.5,630.3,22880.0
2006-12-28,629.4,638.2,629.2,636.9,39660.0
2006-12-29,637.1,639.1,634.5,638.0,39660.0
2007-01-02,639.2,643.5,638.0,638.0,19380.0
2007-01-03,643.0,647.3,627.0,629.8,98490.0
2007-01-04,629.3,632.8,622.4,626.2,58930.0
2007-01-05,623.6,627.9,603.0,606.9,117670.0
2007-01-08,609.3,612.4,605.0,609.4,54980.0
2007-01-09,611.0,617.4,607.0,615.0,59250.0
