date,open,high,low,close
2015-08-04,112.94606060679813,112.93708238258456,113.70536185457493,113.6598797098331
2015-08-05,112.90734540735099,112.72749936496909,113.44125046297604,113.23251856212416
2015-08-06,114.03255562623231,113.54028941759718,114.11501529203947,113.62203842597786
2015-08-07,114.7456524094475,114.15824865371205,114.986015522777,114.17651397349664
2015-08-10,113.07612702082494,113.05811696635,113.67369483116799,113.57366197971656
2015-08-11,115.1839870025499,114.11755372836234,115.2025485990373,114.38230645301215
2015-08-12,114.35485030647996,113.40212006112723,114.41893516374883,114.33655353043093
2015-08-13,113.52559136401328,113.26382447607847,114.04364105641173,113.9615296348511
2015-08-14,113.69749796916359,113.48896188835889,114.03458189743756,113.85212656640165
2015-08-17,114.39071504198037,113.9066665072718,114.4182370682155,114.13447984028633
2015-08-18,113.67896228025965,113.44352711861501,114.03395303443774,113.93360315576744
2015-08-19,115.10638170051517,114.36144586496535,115.44058847051426,114.5078285156725
2015-08-20,115.57558640215305,114.9932252133715,115.584877791043,115.02082358742271
2015-08-21,115.58361096520669,115.14030187001451,115.70426191610983,115.27847023225854
2015-08-24,115.75875870690618,114.60181386697043,115.88875169815482,115.58280539367169
2015-08-25,114.36866164769332,114.32317256104639,115.5084875634877,114.97252818119313
2015-08-26,112.92318817954785,112.87847674932155,114.15307154564208,114.0343523512346
2015-08-27,113.72474858377136,113.40778997567836,114.08002455259282,113.9340021211655
2015-08-28,114.07994272111256,113.4893727723333,114.11648630811379,113.99780516235336
2015-08-31,113.5516119797545,113.01897204440662,113.77882426561122,113.72421042996372
2015-09-01,114.72940634376813,114.15153997027458,114.72940634376813,114.22459695585556
2015-09-02,113.71397370770934,113.5598651655353,114.05083656016612,113.95959589091798
2015-09-03,114.33386242660586,114.07800020250541,114.49895223277296,114.18751508269982
2015-09-04,114.79206955048886,114.27870460121339,114.82891502298139,114.47983512131152
2015-09-07,114.11408484935843,114.11408484935843,114.29666738511742,114.29666738511742
2015-09-08,113.65839321543584,113.43216233722043,114.11357300404393,113.97663671643907
2015-09-09,113.81262844552248,113.66723905988349,114.43470534724224,113.89457353800326
2015-09-10,113.20452350700133,113.14138657253004,113.68485652644502,113.60300342974597
